Date,Open,High,Low,Close,Volume,Adj Close
2015-03-27,205.13,205.95,204.90,205.74,109352100,205.74
2015-03-26,204.96,206.37,204.12,205.27,153067200,205.27
2015-03-25,209.07,209.35,205.71,205.76,159521700,205.76
2015-03-24,209.85,210.40,208.74,208.82,77805300,208.82
2015-03-23,210.42,211.11,210.00,210.00,71784500,210.00
2015-03-20,209.71,211.02,209.49,210.41,177715100,210.41
2015-03-19,209.96,210.47,209.03,209.50,117917300,208.57
2015-03-18,207.39,211.27,206.62,210.46,228808500,209.52
2015-03-17,207.69,208.42,206.98,207.96,94510400,207.04
2015-03-16,206.71,208.69,205.86,208.58,136099200,207.65
2015-03-13,206.77,207.93,204.58,205.83,162410900,204.92
2015-03-12,205.26,207.18,205.20,207.10,93993500,206.18
2015-03-11,205.29,205.50,204.40,204.50,110145700,203.59
2015-03-10,206.71,206.81,204.93,204.98,157121300,204.07
2015-03-09,207.74,208.79,207.55,208.36,89818900,207.43
2015-03-06,210.46,210.46,207.10,207.50,188128000,206.58
2015-03-05,210.62,210.80,209.85,210.46,76873000,209.52
2015-03-04,210.40,210.49,209.06,210.23,114497200,209.30
2015-03-03,211.47,212.05,210.08,211.12,110325800,210.18
2015-03-02,210.78,212.06,210.72,211.99,87491400,211.05
2015-02-27,211.26,211.58,210.60,210.66,108076000,209.72
2015-02-26,211.52,211.71,210.65,211.38,72697900,210.44
2015-02-25,211.66,212.24,211.22,211.63,73061700,210.69
2015-02-24,211.12,212.05,210.76,211.81,72472300,210.87
2015-02-23,210.94,211.21,210.48,211.21,74411100,210.27
2015-02-20,209.48,211.33,208.73,211.24,140896400,210.30
2015-02-19,209.41,210.42,209.24,209.98,91462500,209.05
2015-02-18,209.66,210.22,209.34,210.13,80652900,209.20
2015-02-17,209.40,210.32,209.10,210.11,76968200,209.18
2015-02-13,209.07,209.84,208.76,209.78,93670400,208.85
2015-02-12,207.89,208.99,206.97,208.92,97545900,207.99
2015-02-11,206.61,207.45,205.83,206.93,91087800,206.01
2015-02-10,205.88,207.12,204.68,206.81,96164200,205.89
2015-02-09,204.77,205.64,204.14,204.63,87219000,203.72
2015-02-06,206.56,207.24,204.92,205.55,119694900,204.64
2015-02-05,204.86,206.30,204.77,206.12,97953200,205.20
2015-02-04,203.92,205.38,203.51,204.06,134306700,203.15
2015-02-03,203.00,204.85,202.55,204.84,124212900,203.93
2015-02-02,200.05,202.03,197.86,201.92,163107000,201.02
2015-01-30,200.57,202.17,199.13,199.45,197729700,198.56
2015-01-29,200.38,202.30,198.68,201.99,173585400,201.09
2015-01-28,204.17,204.29,199.91,200.14,168514300,199.25
2015-01-27,202.97,204.12,201.74,202.74,134044600,201.84
2015-01-26,204.71,205.56,203.85,205.45,92009700,204.54
2015-01-23,205.79,206.10,204.81,204.97,117516800,204.06
2015-01-22,203.99,206.26,202.33,206.10,174356000,205.18
2015-01-21,201.50,203.66,200.94,203.08,122942700,202.18
2015-01-20,202.40,202.72,200.17,202.06,130991100,201.16
2015-01-16,198.77,201.82,198.55,201.63,211879600,200.73
2015-01-15,201.63,202.01,198.88,199.02,176613900,198.14
2015-01-14,199.65,201.10,198.57,200.86,192991100,199.97
2015-01-13,204.12,205.48,200.51,202.08,214553300,201.18
2015-01-12,204.41,204.60,201.92,202.65,144396100,201.75
2015-01-09,206.40,206.42,203.51,204.25,158567300,203.34
2015-01-08,204.01,206.16,203.99,205.90,147217800,204.98
2015-01-07,201.42,202.72,200.88,202.31,125346700,201.41
2015-01-06,202.09,202.72,198.86,199.82,209151400,198.93
2015-01-05,204.17,204.37,201.35,201.72,169632600,200.82
2015-01-02,206.38,206.88,204.18,205.43,121465900,204.52
2014-12-31,207.99,208.19,205.39,205.54,130333800,204.63
2014-12-30,208.21,208.37,207.51,207.60,73540800,206.68
2014-12-29,208.22,208.97,208.14,208.72,79643900,207.79
2014-12-26,208.31,208.85,208.25,208.44,57326700,207.51
2014-12-24,208.02,208.34,207.72,207.77,42963400,206.85
2014-12-23,208.17,208.23,207.40,207.75,122167900,206.83
2014-12-22,206.75,207.47,206.46,207.47,148318900,206.55
2014-12-19,206.43,207.33,205.61,206.52,245084600,205.60
2014-12-18,204.74,212.97,203.92,206.78,247780600,204.73
2014-12-17,198.44,202.34,198.29,201.79,253754500,199.79
2014-12-16,199.51,202.40,197.86,197.91,259543800,195.95
2014-12-15,201.98,202.53,198.78,199.51,189965800,197.53
2014-12-12,202.64,203.82,200.85,200.89,202330200,198.90
2014-12-11,203.88,206.19,203.71,204.19,159012800,202.17
2014-12-10,205.91,205.98,202.93,203.16,154761600,201.15
2014-12-09,204.37,206.60,203.91,206.47,125180100,204.42
2014-12-08,207.52,208.12,205.93,206.61,108588200,204.56
2014-12-05,207.87,208.47,207.55,208.00,91025500,205.94
2014-12-04,207.54,208.27,206.70,207.66,89928200,205.60
2014-12-03,207.30,208.15,207.10,207.89,69450000,205.83
2014-12-02,205.81,207.34,205.78,207.09,72105500,205.04
2014-12-01,206.40,206.54,205.38,205.76,103968400,203.72
2014-11-28,207.49,207.87,206.91,207.20,57890100,205.15
2014-11-26,207.29,207.76,207.03,207.64,61928400,205.58
2014-11-25,207.54,207.79,206.80,207.11,79108000,205.06
2014-11-24,207.17,207.39,206.91,207.26,65881000,205.21
2014-11-21,207.64,207.84,205.98,206.68,142327000,204.63
2014-11-20,204.26,205.71,204.18,205.58,72840000,203.54
2014-11-19,205.31,205.55,204.30,205.22,82373000,203.19
2014-11-18,204.44,205.92,204.44,205.55,76068000,203.51
2014-11-17,203.85,204.58,203.65,204.37,80441000,202.35
2014-11-14,204.10,204.49,203.72,204.24,80418000,202.22
2014-11-13,204.16,204.83,203.21,204.19,85358000,202.17
2014-11-12,203.35,204.24,203.31,203.96,90120000,201.94
2014-11-11,204.06,204.31,203.65,204.18,54499000,202.16
2014-11-10,203.38,204.04,203.13,203.98,66319000,201.96
2014-11-07,203.17,203.60,202.61,203.34,89540000,201.33
2014-11-06,202.39,203.26,201.64,203.15,107089000,201.14
2014-11-05,202.54,202.59,201.45,202.34,91709000,200.34
2014-11-04,201.23,201.60,200.06,201.07,93343000,199.08
2014-11-03,201.92,202.45,201.31,201.77,93734000,199.77
2014-10-31,201.78,201.82,200.77,201.66,146903000,199.66
2014-10-30,197.58,199.95,197.40,199.38,113330000,197.40
2014-10-29,198.55,199.12,196.80,198.11,142557000,196.15
2014-10-28,196.82,198.42,196.73,198.41,106255600,196.44
2014-10-27,195.73,196.45,195.03,196.16,82954000,194.22
2014-10-24,195.25,196.49,194.49,196.43,117927000,194.48
2014-10-23,194.62,196.20,194.26,194.93,154944000,193.00
2014-10-22,194.41,194.91,192.61,192.69,151822000,190.78
2014-10-21,191.68,194.20,191.48,194.07,154949000,192.15
2014-10-20,188.13,190.45,188.07,190.30,130011000,188.41
2014-10-17,188.42,189.75,187.62,188.47,214625000,186.60
2014-10-16,183.06,187.58,182.89,186.27,270391000,184.42
2014-10-15,185.16,187.69,181.92,186.43,380715000,184.58
2014-10-14,188.42,189.82,187.04,187.70,215847000,185.84
2014-10-13,190.46,191.15,187.30,187.41,230939000,185.55
2014-10-10,192.69,193.65,190.49,190.54,221909000,188.65
2014-10-09,196.33,196.60,192.58,192.74,210705000,190.83
2014-10-08,193.37,196.92,192.36,196.64,186461000,194.69
2014-10-07,195.28,195.72,193.22,193.26,147913000,191.35
2014-10-06,197.34,197.60,195.58,196.29,104778000,194.35
2014-10-03,195.68,196.94,195.08,196.52,121569000,194.57
2014-10-02,194.18,195.06,192.35,194.38,157285000,192.45
2014-10-01,196.70,196.77,193.91,194.35,177798000,192.42
2014-09-30,197.69,198.30,196.61,197.02,131302000,195.07
2014-09-29,196.20,197.89,196.05,197.54,95112000,195.58
2014-09-26,196.70,198.39,196.42,197.90,103547000,195.94
2014-09-25,199.04,199.05,196.27,196.34,150300000,194.39
2014-09-24,198.04,199.69,197.52,199.56,107276000,197.58
2014-09-23,198.43,199.26,197.95,198.01,111393000,196.05
2014-09-22,200.35,200.38,198.73,199.15,125553000,197.18
2014-09-19,201.52,201.90,200.29,200.70,121649000,198.71
2014-09-18,201.36,201.85,201.10,201.82,94990000,198.89
2014-09-17,200.77,201.68,199.75,200.75,151266000,197.84
2014-09-16,198.61,200.84,198.50,200.48,116201000,197.57
2014-09-15,199.16,199.32,198.38,198.98,76401000,196.09
2014-09-12,200.10,200.12,198.56,199.13,117479000,196.24
2014-09-11,199.27,200.33,199.12,200.30,66774400,197.39
2014-09-10,199.43,200.20,198.77,200.07,67251000,197.17
2014-09-09,200.41,200.55,198.91,199.32,88591000,196.43
2014-09-08,200.92,201.21,200.00,200.59,64146000,197.68
2014-09-05,200.17,201.19,199.41,201.11,102177000,198.19
2014-09-04,200.84,201.58,199.66,200.21,85236000,197.30
2014-09-03,201.38,201.41,200.22,200.50,57462000,197.59
2014-09-02,200.97,201.00,199.86,200.61,72426000,197.70
2014-08-29,200.45,200.73,199.82,200.71,65907000,197.80
2014-08-28,199.59,200.27,199.39,200.14,58330000,197.23
2014-08-27,200.43,200.57,199.94,200.25,47874000,197.34
2014-08-26,200.33,200.82,200.28,200.33,47298000,197.42
2014-08-25,200.14,200.59,199.15,200.20,63855000,197.29
2014-08-22,199.34,199.69,198.74,199.19,76107000,196.30
2014-08-21,199.09,199.76,198.93,199.50,67791000,196.60
2014-08-20,198.12,199.16,198.08,198.92,72763000,196.03
2014-08-19,197.84,198.54,197.44,198.39,59135000,195.51
2014-08-18,196.80,197.45,196.69,197.36,75424000,194.50
2014-08-15,196.47,196.65,194.31,195.72,139951000,192.88
2014-08-14,195.16,195.76,194.98,195.76,57371000,192.92
2014-08-13,194.29,195.06,193.96,194.84,69047000,192.01
2014-08-12,193.61,194.15,192.94,193.53,73632000,190.72
2014-08-11,193.97,194.66,193.71,193.80,74544000,190.99
2014-08-08,191.46,193.37,190.95,193.24,117014000,190.44
2014-08-07,192.94,193.13,190.55,191.03,135733000,188.26
2014-08-06,191.11,192.89,191.08,192.07,94818000,189.28
2014-08-05,193.10,193.60,191.31,192.01,152690000,189.22
2014-08-04,192.87,194.30,192.05,193.89,91340000,191.08
2014-08-01,192.56,193.76,191.57,192.50,189261000,189.71
2014-07-31,195.61,195.78,192.97,193.09,183479000,190.29
2014-07-30,197.65,197.91,196.16,196.98,104222000,194.12
2014-07-29,198.17,198.45,196.92,196.95,80466000,194.09
2014-07-28,197.76,198.09,196.62,197.80,69259000,194.93
2014-07-25,198.09,198.26,197.33,197.72,76837000,194.85
2014-07-24,198.83,199.06,198.45,198.65,56888000,195.77
2014-07-23,198.50,198.85,198.10,198.64,65612000,195.76
2014-07-22,198.01,198.56,197.87,198.20,67678000,195.32
2014-07-21,197.09,197.50,196.43,197.34,67592000,194.48
2014-07-18,196.35,197.91,196.24,197.71,124330000,194.84
2014-07-17,197.35,198.10,195.43,195.71,145398000,192.87
2014-07-16,198.11,198.26,197.42,197.96,80073000,195.09
2014-07-15,197.72,198.10,196.36,197.23,111307000,194.37
2014-07-14,197.61,197.86,197.44,197.60,58658000,194.73
2014-07-11,196.22,196.75,195.78,196.61,64243000,193.76
2014-07-10,195.22,196.86,195.06,196.34,99040000,193.49
2014-07-09,196.73,197.30,196.31,197.12,72992000,194.26
2014-07-08,197.15,197.22,195.76,196.24,108143000,193.39
2014-07-07,197.82,197.98,197.22,197.51,61696000,194.64
2014-07-03,197.79,198.29,197.64,198.20,52938800,195.32
2014-07-02,197.05,197.48,196.96,197.23,52475000,194.37
2014-07-01,196.20,197.63,196.13,197.03,90470000,194.17
2014-06-30,195.70,196.17,195.53,195.72,70504000,192.88
2014-06-27,194.98,195.88,194.89,195.82,71445100,192.98
2014-06-26,195.61,195.63,194.13,195.44,84312000,192.60
2014-06-25,194.29,195.78,194.25,195.58,82782000,192.74
2014-06-24,195.53,196.50,194.48,194.70,96237000,191.87
2014-06-23,195.99,196.05,195.52,195.88,70611000,193.04
2014-06-20,196.03,196.10,195.70,195.94,100587000,193.10
2014-06-19,196.43,196.60,195.80,196.48,85929000,192.70
2014-06-18,194.83,196.37,194.40,196.26,105267000,192.49
2014-06-17,194.02,194.97,193.81,194.83,84834000,191.09
2014-06-16,193.89,194.70,193.66,194.29,87424000,190.56
2014-06-13,193.92,194.32,193.30,194.13,82017000,190.40
2014-06-12,194.69,194.80,193.11,193.54,106350000,189.82
2014-06-11,194.90,195.12,194.48,194.92,68772000,191.17
2014-06-10,195.34,195.64,194.92,195.60,57129000,191.84
2014-06-09,195.35,196.05,195.17,195.58,65119000,191.82
2014-06-06,194.87,195.43,194.78,195.38,78696000,191.63
2014-06-05,193.41,194.65,192.70,194.45,92103000,190.71
2014-06-04,192.47,193.30,192.27,193.19,55529000,189.48
2014-06-03,192.43,192.90,192.25,192.80,65047000,189.10
2014-06-02,192.95,192.99,191.97,192.90,64656000,189.19
2014-05-30,192.19,192.80,192.03,192.68,76316000,188.98
2014-05-29,191.82,192.40,191.33,192.37,64377000,188.67
2014-05-28,191.52,191.82,191.06,191.38,66723000,187.70
2014-05-27,191.06,191.58,190.95,191.52,72010000,187.84
2014-05-23,189.76,190.48,189.59,190.35,61092800,186.69
2014-05-22,189.18,189.98,188.86,189.59,61549000,185.95
2014-05-21,188.09,189.22,188.06,189.13,89093000,185.50
2014-05-20,188.65,188.67,187.07,187.55,111644000,183.95
2014-05-19,187.69,188.89,187.52,188.74,63839000,185.11
2014-05-16,187.51,188.13,186.72,188.05,97458000,184.44
2014-05-15,188.68,188.72,186.48,187.40,154956000,183.80
2014-05-14,189.79,189.88,188.79,189.06,72367000,185.43
2014-05-13,190.04,190.42,189.77,189.96,66454000,186.31
2014-05-12,188.80,189.88,188.00,189.79,86940000,186.14
2014-05-09,187.71,188.04,186.83,187.96,83679000,184.35
2014-05-08,187.71,189.05,187.08,187.68,93618000,184.07
2014-05-07,187.41,187.97,186.01,187.88,106500000,184.27
2014-05-06,188.00,188.13,186.74,186.78,85454000,183.19
2014-05-05,187.14,188.55,186.62,188.42,75883000,184.80
2014-05-02,188.31,189.14,187.78,188.06,98122000,184.45
2014-05-01,188.22,188.84,187.73,188.33,93019000,184.71
2014-04-30,187.44,188.50,187.18,188.31,101508000,184.69
2014-04-29,187.48,188.04,187.08,187.75,84098000,184.14
2014-04-28,187.05,187.69,184.96,186.88,135121000,183.29
2014-04-25,187.22,187.33,185.87,186.29,100380000,182.71
2014-04-24,188.37,188.39,186.93,187.83,88170000,184.22
2014-04-23,187.82,187.92,187.30,187.45,73869000,183.85
2014-04-22,187.23,188.40,187.13,187.89,85790000,184.28
